Unnamed: 0,iso_code,continent,country,total_cases,total_deaths,median_age,population,area,Density,netmigraration,morality,GDP
0,AFG,Asia,Afghanistan,52330.0,2189.0,18.6,41128772.0,647500,"48,0","23,06","163,07",700.0
1,ALB,Europe,Albania,57146.0,1170.0,38.0,2842318.0,28748,"124,6","-4,93","21,52",4500.0
2,DZA,Africa,Algeria,99311.0,2751.0,29.1,44903228.0,2381740,"13,8","-0,39",31,6000.0
3,ASM,Oceania,American Samoa,0,0,27.2,44295.0,199,"290,4","-20,71","9,27",8000.0
4,AND,Europe,Andorra,7983.0,84.0,46.2,79843.0,468,"152,1","6,6","4,05",19000.0
5,AGO,Africa,Angola,17433.0,405.0,16.8,35588996.0,1246700,"9,7",0,"191,19",1900.0
6,AIA,North America,Anguilla,13.0,12.0,36.2,15877.0,102,"132,1","10,76","21,03",8600.0
8,ARG,South America,Argentina,1674319.0,48271.0,31.9,45510324.0,2766890,"14,4","0,61","15,18",11200.0
9,ARM,Asia,Armenia,159409.0,2823.0,35.7,2780472.0,29800,"99,9","-6,47","23,28",3500.0
10,ABW,North America,Aruba,5373.0,49.0,41.2,106459.0,193,"372,5",0,"5,89",28000.0
11,AUS,Oceania,Australia,28381.0,920.0,37.9,26177410.0,7686850,"2,6","3,98","4,69",29000.0
12,AUT,Europe,Austria,352657.0,7377.0,44.4,8939617.0,83870,"97,7",2,"4,66",30000.0
13,AZE,Asia,Azerbaijan,216584.0,2575.0,32.4,10358078.0,86600,"91,9","-4,9","81,74",3400.0
15,BHR,Asia,Bahrain,92169.0,351.0,32.4,1472237.0,665,"1050,5","1,05","17,27",16900.0
16,BGD,Asia,Bangladesh,513510.0,7559.0,27.5,171186368.0,144000,"1023,4","-0,71","62,6",1900.0
17,BRB,North America,Barbados,372.0,7.0,39.8,281646.0,431,"649,5","-0,31","12,5",15700.0
18,BLR,Europe,Belarus,192361.0,1414.0,40.3,9534956.0,207600,"49,6","2,54","13,37",6100.0
19,BEL,Europe,Belgium,645277.0,19674.0,41.8,11655923.0,30528,"340,0","1,23","4,68",29100.0
20,BLZ,North America,Belize,10668.0,241.0,25.0,405285.0,22966,"12,5",0,"25,69",4900.0
21,BEN,Africa,Benin,3251.0,44.0,18.8,13352864.0,112620,"69,8",0,85,1100.0
22,BMU,North America,Bermuda,595.0,10.0,46.0,64207.0,53,"1241,0","2,49","8,53",36000.0
23,BTN,Asia,Bhutan,670.0,0.0,28.6,782457.0,47000,"48,5",0,"100,44",1300.0
24,BOL,South America,Bolivia,156887.0,9135.0,25.4,12224114.0,1098580,"8,2","-1,32","53,11",2400.0
27,BWA,Africa,Botswana,14637.0,43.0,25.8,2630300.0,600370,"2,7",0,"54,58",9000.0
28,BRA,South America,Brazil,7563551.0,192681.0,33.5,215313504.0,8511965,"22,1","-0,03","29,61",7600.0
30,BRN,Asia,Brunei,157.0,3.0,32.4,449002.0,5770,"65,8","3,59","12,61",18600.0
31,BGR,Europe,Bulgaria,201220.0,7515.0,44.7,6781955.0,110910,"66,6","-4,58","20,55",7600.0
32,BFA,Africa,Burkina Faso,6707.0,85.0,17.6,22673764.0,274200,"50,7",0,"97,57",1100.0
33,BDI,Africa,Burundi,818.0,2.0,17.5,12889583.0,27830,"290,7","-0,06","69,29",600.0
34,KHM,Asia,Cambodia,366.0,0.0,25.6,16767851.0,181040,"76,7",0,"71,48",1900.0
35,CMR,Africa,Cameroon,26848.0,448.0,18.8,27914542.0,475440,"36,5",0,"68,26",1800.0
36,CAN,North America,Canada,565504.0,15274.0,41.4,38454328.0,9984670,"3,3","5,96","4,75",29800.0
37,CPV,Africa,Cape Verde,11793.0,112.0,25.7,593162.0,4033,"104,4","-12,07","47,77",1400.0
38,CYM,North America,Cayman Islands,326.0,2.0,40.5,68722.0,262,"173,4","18,75","8,19",35000.0
40,TCD,Africa,Chad,2077.0,105.0,16.7,17723312.0,1284000,"7,7","-0,11","93,82",1200.0
41,CHL,South America,Chile,605950.0,16499.0,35.4,19603736.0,756950,"21,3",0,"8,8",9900.0
