country,legatumRank2020
Denmark,1
Norway,2
Switzerland,3
Sweden,4
Finland,5
Netherlands,6
New Zealand,7
Germany,8
Luxembourg,9
Austria,10
Iceland,11
Ireland,12
United Kingdom,13
Canada,14
Singapore,15
Australia,16
Hong Kong,17
United States,18
Japan,19
Taiwan,20
Estonia,21
France,22
Belgium,23
Spain,24
Malta,25
Slovenia,26
Portugal,27
South Korea,28
Israel,30
Italy,31
Latvia,32
Cyprus,33
Lithuania,34
Slovakia,35
Poland,36
Chile,37
Costa Rica,38
Uruguay,39
Malaysia,40
Greece,41
United Arab Emirates,42
Croatia,43
Mauritius,44
Qatar,45
Hungary,46
Romania,47
Bulgaria,48
Panama,49
Montenegro,50
Seychelles,51
Serbia,52
Georgia,53
China,54
Armenia,55
Bahrain,56
Indonesia,57
Kuwait,58
North Macedonia,59
Trinidad and Tobago,60
Peru,61
Kazakhstan,62
Argentina,63
Thailand,64
Jamaica,65
Oman,66
Albania,67
Mexico,68
Belarus,69
Brazil,70
Saudi Arabia,71
Dominican Republic,72
Vietnam,73
Colombia,74
Russia,76
Bosnia and Herzegovina,77
Azerbaijan,78
Paraguay,79
Moldova,80
Suriname,81
Botswana,82
Philippines,83
Sri Lanka,84
Mongolia,85
Jordan,86
South Africa,87
Namibia,88
Ecuador,89
Kyrgyzstan,90
Guyana,91
Ukraine,92
El Salvador,93
Turkey,94
Belize,95
Morocco,96
Uzbekistan,97
Tunisia,99
Ghana,100
India,101
Guatemala,102
Cuba,103
Rwanda,104
Lebanon,105
Bolivia,106
Honduras,107
Algeria,108
Turkmenistan,109
Senegal,110
Nicaragua,111
Tajikistan,112
Kenya,113
Nepal,114
Laos,115
Gambia,116
Tanzania,117
Cambodia,118
Djibouti,119
Iran,120
Egypt,121
Gabon,122
Zambia,123
Ivory Coast,124
Bangladesh,125
Benin,126
Myanmar,127
Comoros,128
Papua New Guinea,129
Lesotho,130
Equatorial Guinea,131
Malawi,132
Uganda,133
Eswatini,134
Burkina Faso,135
Madagascar,136
Iraq,137
Pakistan,138
Guinea,139
Togo,140
Liberia,141
Mozambique,142
Zimbabwe,143
Nigeria,144
Sierra Leone,145
Venezuela,146
Guinea-Bissau,147
Mali,148
Libya,149
Ethiopia,150
Cameroon,151
Republic of Congo,152
Niger,153
Mauritania,154
Haiti,155
Angola,156
Burundi,157
Syria,158
Eritrea,160
Democratic Republic of the Congo,161
Afghanistan,162
Somalia,163
Chad,164
Yemen,165
Central African Republic,166
Sudan,167
