,Unnamed: 0,iso_code,continent,location,total_cases,total_deaths,median_age,population,percentage,GDP ($ per capita),Net migration,Infant mortality (per 1000 births),Area (sq. mi.)
0,0,AFG,Asia,Afghanistan,52330.0,2189.0,18.6,41128772.0,0.005322308188535267%,,,,
1,1,ALB,Europe,Albania,57146.0,1170.0,38.0,2842318.0,0.04116358549606342%,,,,
2,2,DZA,Africa,Algeria,99311.0,2751.0,29.1,44903228.0,0.006126508321406203%,,,,
3,3,ASM,Oceania,American Samoa,0,0,27.2,44295.0,nan%,,,,
4,4,AND,Europe,Andorra,7983.0,84.0,,79843.0,0.10520646769284722%,,,,
5,5,AGO,Africa,Angola,17433.0,405.0,16.8,35588996.0,0.0011379922041071346%,,,,
6,6,AIA,North America,Anguilla,13.0,12.0,36.2,15877.0,nan%,,,,
7,7,ATG,North America,Antigua and Barbuda,158.0,5.0,32.1,93772.0,0.005332082071407243%,,,,
8,8,ARG,South America,Argentina,1674319.0,48271.0,31.9,45510324.0,0.106066043388309%,,,,
9,9,ARM,Asia,Armenia,159409.0,2823.0,35.7,2780472.0,0.10152952448361287%,,,,
10,10,ABW,North America,Aruba,5373.0,49.0,41.2,106459.0,0.04602710902788867%,,,,
11,11,AUS,Oceania,Australia,28381.0,920.0,37.9,26177410.0,0.0035144806151563507%,,,,
12,12,AUT,Europe,Austria,352657.0,7377.0,44.4,8939617.0,0.08252031378972947%,,,,
13,13,AZE,Asia,Azerbaijan,216584.0,2575.0,32.4,10358078.0,0.024859824380546274%,,,,
14,14,BHS,North America,Bahamas,7857.0,170.0,34.3,409989.0,0.04146452709706846%,,,,
15,15,BHR,Asia,Bahrain,92169.0,351.0,32.4,1472237.0,0.02384127012159048%,,,,
16,16,BGD,Asia,Bangladesh,513510.0,7559.0,27.5,171186368.0,0.004415655340032683%,,,,
17,17,BRB,North America,Barbados,372.0,7.0,39.8,281646.0,0.002485389460528465%,,,,
18,18,BLR,Europe,Belarus,192361.0,1414.0,40.3,9534956.0,0.014829643681627896%,,,,
19,19,BEL,Europe,Belgium,645277.0,19674.0,41.8,11655923.0,0.1687897217577707%,,,,
20,20,BLZ,North America,Belize,10668.0,241.0,25.0,405285.0,0.05946432757195554%,,,,
21,21,BEN,Africa,Benin,3251.0,44.0,18.8,13352864.0,0.00032951732302523263%,,,,
22,22,BMU,North America,Bermuda,595.0,10.0,46.0,64207.0,0.015574625819614685%,,,,
23,23,BTN,Asia,Bhutan,670.0,0.0,28.6,782457.0,nan%,,,,
24,24,BOL,South America,Bolivia,156887.0,9135.0,25.4,12224114.0,0.07472934234742902%,,,,
25,25,BES,North America,Bonaire Sint Eustatius and Saba,186.0,3.0,,27052.0,0.011089753068165016%,,,,
26,26,BIH,Europe,Bosnia and Herzegovina,110985.0,4050.0,42.5,3233530.0,0.1252501136528809%,,,,
27,27,BWA,Africa,Botswana,14637.0,43.0,25.8,2630300.0,0.001634794510131924%,,,,
28,28,BRA,South America,Brazil,7563551.0,192681.0,33.5,215313504.0,0.08948858126427593%,,,,
29,29,VGB,North America,British Virgin Islands,93.0,1.0,,31332.0,0.0031916251755393847%,,,,
30,30,BRN,Asia,Brunei,157.0,3.0,32.4,449002.0,0.0006681484714990134%,,,,
31,31,BGR,Europe,Bulgaria,201220.0,7515.0,44.7,6781955.0,0.11080875647213818%,,,,
32,32,BFA,Africa,Burkina Faso,6707.0,85.0,17.6,22673764.0,0.0003748826176368423%,,,,
33,33,BDI,Africa,Burundi,818.0,2.0,17.5,12889583.0,1.5516405767354926e-05%,,,,
34,34,KHM,Asia,Cambodia,366.0,0.0,25.6,16767851.0,nan%,,,,
35,35,CMR,Africa,Cameroon,26848.0,448.0,18.8,27914542.0,0.0016048982641377386%,,,,
36,36,CAN,North America,Canada,565504.0,15274.0,41.4,38454328.0,0.03971984635903662%,,,,
